shop_name,shop_adr
サンパ,						東京都杉並区荻窪５－１６－２３
パパイヤリーフ　丸の内ビル店,						東京都千代田区丸の内２－４－１　丸の内ビルディング５Ｆ
パパイヤリーフ東京　渋谷ヒカリエ店,						東京都渋谷区渋谷２‐２１-1渋谷ヒカリエ６F
サイアムヘリテイジ　新丸ビル,						東京都千代田区丸の内１－５－１　新丸の内ビルディング６Ｆ
サイゴン　丸の内店,						東京都千代田区丸の内１－４－５　三菱UFJ信託銀行本店ビルB1
中野　タイ料理　タイ屋台999（カオカオカオ）,						東京都中野区中野５-53-10　エイトゥリービル1F
タイ料理とお酒　ヤムヤムサイアム　神保町,						東京都千代田区一ツ橋２－６－１１ 金正ビル１階
PHO HANOI　（フォーハノイ）,						東京都足立区千住旭町42-2 ルミネ北千住8F
獨壹荘,						東京都杉並区梅里２‐３‐７‐１０４
タイ料理　シリパイリン　Siri pailin,						東京都渋谷区宇田川町３２－６　ナガサキビル３Ｆ
スパイス料理＆世界のビール サモサ お花茶屋店,						東京都葛飾区お花茶屋１丁目20-2
ロータスパレス　東武百貨店　池袋店,						東京都豊島区西池袋１－１－２５　スパイス池袋東武１１Ｆ
タイ料理バンセーンアロイチンチン西新橋店,						東京都港区西新橋２-１１-８　内田ビル1F
ヴェトナム料理　モッハイバー　Mothaiba,						東京都中野区中野５-54-5　エマハートビル2F
広東料理 百菜,						東京都大田区大森北１-12-7 エンゼルハイム大森102
タイ国料理　ライカノ,						東京都足立区千住２丁目６２
タイ国屋台料理　ソンクラン,						東京都目黒区鷹番３-７-４ ２Ｆ
タイ料理バンセーン新橋店,						東京都港区西新橋１-6-6　川山ビル1階
呑めるタイ料理屋　ラコタ,						東京都武蔵野市吉祥寺本町１‐２２‐１０　寿々木ビル１Ｆ
沖縄料理・越南(ベトナム)料理　うぶすな-UBUSUNA 代々木公園,						東京都渋谷区上原１－１－２０ １Ｆ
サイゴン　上町店,						東京都世田谷区世田谷３‐３‐５
Pensri's Kitchen　ペンシーズキッチン　ルミネ池袋,						東京都豊島区西池袋１-11-1 ルミネ池袋　8F　イケレス内
ティーヌン　市ヶ谷店,						東京都千代田区九段北４-2-15 市ヶ谷プラザビル１F
ラックタイペェンロイ,						東京都品川区西五反田１‐２４‐１
サイゴン,						東京都狛江市岩戸南１‐２‐６
マンゴツリーキッチン　グランスタ,						東京都千代田区丸の内１-9-1　ＪＲ東日本東京駅構内B1GRANSTA内 
SiAM　シャム,						東京都千代田区有楽町１－６－１　第２日比谷ビル１０Ｆ
バンコクエクスプレス,						東京都千代田区大手町１-6-1　大手町ビルB2階
タイランド,						東京都墨田区錦糸３-１２-１０
ラックタイ　高輪店,						東京都港区高輪３‐２５‐２７　Ｂ１Ｆ
ニャーヴェトナム・本店,						東京都渋谷区恵比寿南１－９－３
チャオ　チェンマイ,						東京都武蔵野市吉祥寺南町１－８－１１　弥生ビル１Ｆ
サームロット,						東京都新宿区歌舞伎町１－２－１９　三権ビル２Ｆ
ラックタイ　品川グランパサージュ店,						東京都港区港南２‐１６‐５　三菱重工ビル　品川グランパサージュ２　Ｂ１Ｆ
クロープクルア,						東京都台東区浅草１-33-4　　斉藤ビル２Ｆ
ゲウチャイ,						東京都墨田区江東橋２－１５－４
